order_id,customer_id,product,price,quantity,city,order_date,total_price
0,151,Headphones,16047,3,Delhi,2026-02-21 10:02:45.962012,48141
1,422,Laptop,19929,2,Delhi,2025-12-03 10:02:45.962027,39858
2,227,Laptop,29699,2,Mumbai,2025-12-16 10:02:45.962030,59398
3,195,Headphones,2492,1,Pune,2025-12-18 10:02:45.962032,2492
4,164,Phone,38465,4,Mumbai,2026-01-24 10:02:45.962033,153860
5,235,Phone,45392,3,Pune,2026-02-11 10:02:45.962034,136176
6,438,Phone,7504,2,Jaipur,2025-12-22 10:02:45.962036,15008
7,300,Phone,23328,2,Jaipur,2026-02-28 10:02:45.962037,46656
8,376,Headphones,15038,3,Mumbai,2026-02-21 10:02:45.962038,45114
9,409,Headphones,16316,1,Pune,2026-01-23 10:02:45.962039,16316
10,367,Laptop,26167,5,Mumbai,2025-12-27 10:02:45.962041,130835
11,334,Mouse,35189,5,Jaipur,2025-12-12 10:02:45.962042,175945
12,365,Mouse,18557,3,Jaipur,2025-12-04 10:02:45.962043,55671
13,284,Keyboard,26463,1,Delhi,2026-02-27 10:02:45.962044,26463
14,475,Headphones,28226,3,Mumbai,2025-11-28 10:02:45.962046,84678
15,434,Phone,32160,1,Pune,2025-12-20 10:02:45.962047,32160
16,136,Keyboard,24260,3,Mumbai,2026-02-03 10:02:45.962048,72780
17,273,Laptop,17448,2,Pune,2026-01-02 10:02:45.962049,34896
18,268,Keyboard,12688,3,Delhi,2025-12-17 10:02:45.962050,38064
19,323,Keyboard,25285,5,Bangalore,2026-02-12 10:02:45.962051,126425
20,453,Laptop,36728,5,Bangalore,2025-12-08 10:02:45.962052,183640
21,395,Headphones,18686,1,Delhi,2026-01-14 10:02:45.962053,18686
22,283,Headphones,25665,2,Jaipur,2025-12-20 10:02:45.962055,51330
23,314,Laptop,48867,1,Bangalore,2026-01-02 10:02:45.962056,48867
24,186,Keyboard,36020,4,Pune,2025-12-09 10:02:45.962057,144080
25,231,Headphones,16056,5,Bangalore,2026-01-12 10:02:45.962058,80280
26,308,Laptop,18288,3,Mumbai,2026-02-15 10:02:45.962059,54864
27,366,Phone,3581,2,Mumbai,2026-01-22 10:02:45.962060,7162
28,427,Keyboard,20278,3,Pune,2025-12-13 10:02:45.962061,60834
29,370,Phone,32879,2,Delhi,2025-12-16 10:02:45.962062,65758
30,473,Laptop,47328,2,Mumbai,2025-12-04 10:02:45.962063,94656
31,151,Keyboard,45636,1,Bangalore,2026-01-26 10:02:45.962065,45636
32,374,Keyboard,35306,3,Mumbai,2026-01-23 10:02:45.962066,105918
33,456,Phone,39720,5,Bangalore,2025-12-21 10:02:45.962067,198600
34,116,Phone,18038,1,Pune,2026-01-13 10:02:45.962068,18038
35,322,Laptop,35593,4,Mumbai,2026-02-22 10:02:45.962069,142372
36,336,Keyboard,15566,1,Delhi,2026-02-17 10:02:45.962070,15566
37,484,Headphones,29961,4,Pune,2025-12-09 10:02:45.962071,119844
38,115,Phone,35246,2,Delhi,2026-01-04 10:02:45.962072,70492
